,,,DraftKings,,,FanDuel,,,BetMGM,,,PointsBet,,
Player,Team,Opp,Steals,Over,Under,Steals,Over,Under,Steals,Over,Under,Steals,Over,Under
Desmond Bane,MEM,@POR,,,,,,,1.5,150,-210,,,
Jimmy Butler,MIA,WAS,,,,,,,1.5,100,-135,,,
DeMar DeRozan,CHI,BKN,,,,,,,1.5,175,-250,,,
Tyus Jones,WAS,@MIA,,,,,,,1.5,140,-190,,,
Kyle Lowry,MIA,WAS,,,,,,,1.5,175,-250,,,
Marcus Smart,MEM,@POR,,,,,,,1.5,-145,105,,,
Xavier Tillman,MEM,@POR,,,,,,,1.5,145,-200,,,
Jalen Williams,OKC,GSW,,,,,,,1.5,135,-185,,,
Bam Adebayo,MIA,WAS,,,,,,,0.5,-160,120,,,
Giannis Antetokounmpo,MIL,NYK,,,,,,,0.5,-185,135,,,
Deni Avdija,WAS,@MIA,,,,,,,0.5,-160,120,,,
Deandre Ayton,POR,MEM,,,,,,,0.5,-185,135,,,
RJ Barrett,NYK,@MIL,,,,,,,0.5,-125,-105,,,
Malik Beasley,MIL,NYK,,,,,,,0.5,-210,155,,,
Mikal Bridges,BKN,@CHI,,,,,,,0.5,-165,125,,,
Jalen Brunson,NYK,@MIL,,,,,,,0.5,-175,130,,,
Stephen Curry,GSW,@OKC,,,,0.5,-180,140,0.5,-165,125,,,
Luguentz Dort,OKC,GSW,,,,0.5,-200,154,0.5,-250,175,,,
Dorian Finney-Smith,BKN,@CHI,,,,,,,0.5,-135,100,,,
Daniel Gafford,WAS,@MIA,,,,,,,0.5,120,-155,,,
Josh Giddey,OKC,GSW,,,,0.5,-166,130,0.5,-150,110,,,
Jerami Grant,POR,MEM,,,,,,,0.5,-175,130,,,
Draymond Green,GSW,@OKC,,,,0.5,-250,190,0.5,-210,155,,,
Quentin Grimes,NYK,@MIL,,,,,,,0.5,-115,-115,,,
Tyler Herro,MIA,WAS,,,,,,,0.5,-145,110,,,
Chet Holmgren,OKC,GSW,,,,,,,0.5,-190,140,,,
Jaren Jackson,MEM,@POR,,,,,,,0.5,-175,130,,,
Kyle Kuzma,WAS,@MIA,,,,,,,0.5,-120,-110,,,
Zach LaVine,CHI,BKN,,,,,,,0.5,-140,105,,,
Damian Lillard,MIL,NYK,,,,,,,0.5,-160,120,,,
Kevon Looney,GSW,@OKC,,,,,,,0.5,-130,-105,,,
Brook Lopez,MIL,NYK,,,,,,,0.5,-110,-120,,,
Kevin Love,MIA,WAS,,,,,,,0.5,130,-175,,,
Julius Randle,NYK,@MIL,,,,,,,0.5,-110,-120,,,
Mitchell Robinson,NYK,@MIL,,,,,,,0.5,-190,145,,,
Shaedon Sharpe,POR,MEM,,,,,,,0.5,-225,165,,,
Cam Thomas,BKN,@CHI,,,,,,,0.5,-150,110,,,
Klay Thompson,GSW,@OKC,,,,,,,0.5,-125,-105,,,
Nikola Vucevic,CHI,BKN,,,,,,,0.5,-160,120,,,
Coby White,CHI,BKN,,,,,,,0.5,-120,-110,,,
Andrew Wiggins,GSW,@OKC,,,,,,,0.5,-110,-120,,,
Ziaire Williams,MEM,@POR,,,,,,,0.5,-120,-110,,,
