lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847644884780208481604,2023,Dorofeyev-Karlsson-Amadio,VGK,line,5on5,2,1174.0,5.0,0.36,0.64,0.68,12.24,0.52,0.76,2.88,0.36,7.23,5.24,0.52,0.56,0.56,12.0,5.0,4.0,21.0,2.0,0.0,0.0,1.0,0.0,7.0,7.0,10.0,15.0,1.0,2.0,10.0,2.0,2.0,1.0,16.0,1.0,0.0,0.44,0.09,0.0,2.0,0.0,0.0,22.58,17.0,18.17,1.0,0.15,0.0,0.0,0.68,0.72,0.72,5.84,0.92,0.41,1.46,0.23,2.93,2.05,0.87,0.92,0.87,7.0,1.0,4.0,12.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,6.0,7.0,0.0,0.0,8.0,10.0,1.0,3.0,6.0,1.0,1.0,0.24,0.12,0.56,0.0,1.0,0.0,11.52,8.0,7.77,2.0,0.09,0.56,0.56,0.44,0.44,0.44
84817088482073,2023,Jones-Schneider,NYR,pairing,5on5,1,727.0,3.0,0.4,0.56,0.53,7.75,0.57,0.56,2.31,0.23,3.79,2.53,0.55,0.58,0.56,7.0,3.0,4.0,14.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,7.0,10.0,0.0,0.0,7.0,2.0,2.0,1.0,7.0,3.0,0.0,0.23,0.34,0.0,0.0,0.0,0.0,13.55,10.0,9.76,0.0,0.11,0.1,0.1,0.58,0.59,0.58,6.29,0.85,0.47,1.79,0.25,3.29,2.35,0.78,0.81,0.74,7.0,2.0,2.0,11.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,5.0,7.0,0.0,0.0,4.0,4.0,0.0,2.0,5.0,2.0,2.0,0.08,0.24,0.54,0.0,1.0,1.0,11.26,9.0,8.94,1.0,0.1,0.27,0.27,0.68,0.65,0.64
84745638479998,2023,Anderson-Doughty,LAK,pairing,5on5,3,2440.0,4.0,0.57,0.53,0.53,22.95,1.87,1.48,5.47,0.8,12.16,9.22,1.85,1.74,1.72,24.0,7.0,11.0,42.0,3.0,2.0,1.0,1.0,0.0,12.0,13.0,21.0,28.0,4.0,8.0,21.0,16.0,3.0,2.0,27.0,2.0,2.0,0.96,0.24,0.67,2.0,0.0,1.0,39.1,31.0,28.82,2.0,0.31,0.67,0.67,1.51,1.42,1.41,19.49,1.41,1.21,5.12,0.65,10.76,7.86,1.37,1.44,1.4,20.0,7.0,10.0,37.0,2.0,1.0,1.0,3.0,0.0,15.0,6.0,18.0,25.0,5.0,10.0,21.0,18.0,5.0,4.0,23.0,2.0,2.0,0.74,0.18,0.49,1.0,0.0,1.0,37.87,27.0,27.62,4.0,0.25,0.23,0.23,1.43,1.49,1.46
84801728481812,2023,Knyzhov-Rutta,SJS,pairing,5on5,2,698.0,6.0,0.35,0.22,0.25,1.91,0.19,0.14,0.42,0.07,1.29,0.88,0.19,0.19,0.19,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,6.0,6.0,6.0,0.0,1.0,2.0,1.0,0.0,0.09,0.11,0.0,0.0,0.0,0.0,4.96,3.0,3.05,0.0,0.03,0.0,0.0,0.22,0.22,0.22,5.73,0.36,0.36,1.5,0.22,3.78,2.79,0.36,0.38,0.37,7.0,2.0,9.0,18.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,7.0,9.0,0.0,0.0,9.0,1.0,0.0,3.0,8.0,1.0,0.0,0.28,0.08,0.0,0.0,0.0,0.0,18.06,9.0,9.14,0.0,0.07,0.0,0.0,0.43,0.45,0.44
84757908479402,2023,Bean-Gudbranson,CBJ,pairing,5on5,3,2039.0,8.0,0.54,0.54,0.51,17.38,1.22,1.06,4.41,0.58,9.5,7.24,1.2,1.18,1.16,16.0,8.0,13.0,37.0,1.0,1.0,0.0,3.0,0.0,14.0,5.0,15.0,23.0,2.0,4.0,21.0,7.0,5.0,4.0,19.0,4.0,1.0,0.48,0.51,0.23,0.0,1.0,0.0,36.29,24.0,23.36,2.0,0.22,0.23,0.23,1.21,1.17,1.15,16.22,1.06,1.14,4.22,0.52,9.25,6.8,1.05,1.11,1.1,17.0,6.0,9.0,32.0,0.0,1.0,0.0,3.0,0.0,11.0,8.0,17.0,23.0,4.0,8.0,18.0,4.0,3.0,4.0,20.0,2.0,1.0,0.59,0.21,0.25,0.0,0.0,0.0,33.01,23.0,23.77,2.0,0.23,0.25,0.25,1.04,1.08,1.07
847515184757548478115,2023,Engvall-Nelson-Palmieri,NYI,line,5on5,2,1268.0,3.0,0.66,0.58,0.63,20.86,1.7,1.31,6.33,0.73,9.84,7.09,1.61,1.66,1.58,19.0,8.0,4.0,31.0,2.0,4.0,0.0,1.0,0.0,12.0,8.0,17.0,25.0,0.0,0.0,12.0,3.0,2.0,8.0,21.0,3.0,3.0,0.58,0.41,0.72,1.0,1.0,0.0,31.47,27.0,27.31,1.0,0.28,0.82,0.82,1.16,1.14,1.1,12.0,0.9,0.65,3.15,0.4,6.11,4.79,0.85,0.92,0.87,11.0,5.0,6.0,22.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,11.0,16.0,1.0,2.0,14.0,5.0,2.0,2.0,13.0,2.0,1.0,0.33,0.22,0.34,0.0,0.0,0.0,21.77,16.0,15.67,1.0,0.13,0.34,0.34,0.69,0.7,0.68
847742684778398479718,2023,Sheary-Paul-Barr-Boulet,TBL,line,5on5,2,647.0,10.0,0.22,0.36,0.45,3.24,0.12,0.21,1.0,0.15,1.99,1.53,0.12,0.13,0.13,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,5.0,1.0,2.0,4.0,6.0,2.0,1.0,5.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,5.05,5.0,5.02,1.0,0.04,0.0,0.0,0.17,0.17,0.17,4.45,0.43,0.26,1.12,0.15,2.28,1.76,0.43,0.43,0.43,3.0,3.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,2.0,2.0,1.0,2.0,4.0,2.0,0.0,0.14,0.29,0.0,0.0,2.0,0.0,9.12,6.0,6.23,2.0,0.06,0.0,0.0,0.49,0.48,0.48
84752188480803,2023,Ekholm-Bouchard,EDM,pairing,5on5,2,1441.0,4.0,0.55,0.59,0.55,12.85,1.2,0.79,2.97,0.39,6.24,5.41,1.19,1.27,1.27,12.0,5.0,7.0,24.0,1.0,1.0,0.0,1.0,0.0,8.0,6.0,11.0,16.0,1.0,2.0,14.0,17.0,6.0,6.0,11.0,5.0,1.0,0.43,0.52,0.25,1.0,0.0,0.0,26.01,17.0,18.56,3.0,0.17,0.25,0.25,1.12,1.22,1.21,10.89,0.96,0.58,2.7,0.35,4.92,4.49,0.95,0.96,0.95,14.0,0.0,3.0,17.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,13.0,13.0,1.0,2.0,12.0,15.0,8.0,11.0,10.0,3.0,1.0,0.25,0.41,0.31,0.0,0.0,1.0,16.22,14.0,13.32,5.0,0.12,0.17,0.17,0.91,0.93,0.91
847471584800158480028,2023,Atkinson-Frost-Tippett,PHI,line,5on5,2,634.0,8.0,0.15,0.43,0.38,3.67,0.14,0.18,1.12,0.13,1.93,1.5,0.14,0.16,0.16,1.0,4.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,1.0,2.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,10.73,5.0,5.36,1.0,0.04,0.0,0.0,0.18,0.2,0.2,5.61,0.83,0.38,1.46,0.23,3.03,2.08,0.76,0.79,0.72,4.0,4.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,8.0,0.0,0.0,9.0,5.0,2.0,3.0,4.0,3.0,1.0,0.09,0.41,0.33,0.0,0.0,0.0,12.5,8.0,7.81,0.0,0.08,0.0,0.0,0.91,0.86,0.79
847843484784628480007,2023,Rondbjerg-Roy-Kolesar,VGK,line,5on5,2,1012.0,8.0,0.12,0.48,0.17,1.46,0.08,0.08,0.28,0.04,0.85,0.67,0.08,0.08,0.08,2.0,0.0,10.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,5.0,11.0,3.0,4.0,2.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,13.03,2.0,2.2,2.0,0.02,0.0,0.0,0.09,0.1,0.1,7.26,0.57,0.42,1.86,0.23,3.99,2.93,0.57,0.56,0.56,5.0,5.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,10.0,1.0,2.0,12.0,9.0,2.0,3.0,7.0,3.0,0.0,0.23,0.33,0.0,0.0,0.0,0.0,12.15,10.0,9.5,1.0,0.09,0.0,0.0,0.66,0.64,0.64
84746738476853,2023,Rielly-Brodie,TOR,pairing,5on5,3,2611.0,4.0,0.78,0.55,0.64,26.34,2.67,1.7,7.05,0.94,14.96,9.67,2.62,2.6,2.55,27.0,10.0,6.0,43.0,3.0,4.0,0.0,0.0,0.0,17.0,13.0,24.0,34.0,6.0,18.0,29.0,28.0,12.0,9.0,29.0,4.0,4.0,0.94,0.49,1.24,0.0,1.0,2.0,41.73,37.0,35.72,2.0,0.36,0.74,0.74,2.29,2.21,2.18,15.99,0.74,0.75,4.4,0.51,7.86,6.74,0.74,0.8,0.8,12.0,9.0,14.0,35.0,1.0,1.0,0.0,1.0,0.0,8.0,10.0,11.0,20.0,5.0,16.0,29.0,21.0,8.0,8.0,18.0,3.0,0.0,0.37,0.37,0.0,0.0,1.0,0.0,36.69,21.0,21.69,6.0,0.15,0.03,0.03,0.87,0.93,0.93
84745908480873,2023,Sandin-Carlson,WSH,pairing,5on5,2,1671.0,3.0,0.41,0.49,0.48,15.52,0.91,0.95,4.53,0.58,8.18,5.85,0.89,0.85,0.83,16.0,5.0,10.0,31.0,1.0,2.0,0.0,0.0,0.0,13.0,5.0,15.0,20.0,1.0,2.0,15.0,6.0,5.0,5.0,19.0,2.0,0.0,0.63,0.28,0.0,1.0,0.0,0.0,29.09,21.0,19.75,2.0,0.2,0.24,0.24,0.88,0.82,0.81,16.56,1.29,1.01,4.54,0.59,8.82,6.75,1.25,1.42,1.37,18.0,5.0,9.0,32.0,2.0,2.0,0.0,0.0,0.0,11.0,8.0,16.0,21.0,2.0,4.0,26.0,4.0,2.0,4.0,17.0,4.0,2.0,0.44,0.43,0.42,1.0,1.0,0.0,34.94,23.0,24.86,2.0,0.21,0.22,0.22,1.28,1.4,1.36
84793728484304,2023,Mahura-Balinskis,FLA,pairing,5on5,3,1680.0,9.0,0.73,0.51,0.58,15.65,1.72,1.1,3.79,0.61,8.55,6.24,1.69,1.77,1.74,16.0,6.0,6.0,28.0,0.0,3.0,0.0,0.0,0.0,8.0,11.0,16.0,22.0,3.0,6.0,15.0,15.0,2.0,5.0,14.0,6.0,2.0,0.49,0.68,0.55,0.0,0.0,0.0,28.76,22.0,22.32,1.0,0.23,0.61,0.61,1.33,1.38,1.36,11.72,0.63,0.74,3.08,0.38,6.37,4.8,0.61,0.61,0.59,12.0,4.0,11.0,27.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,11.0,15.0,5.0,10.0,11.0,13.0,1.0,3.0,16.0,0.0,0.0,0.63,0.0,0.0,1.0,0.0,0.0,26.43,16.0,15.64,2.0,0.15,0.0,0.0,0.78,0.75,0.73
84757538476792,2023,Krug-Faulk,STL,pairing,5on5,2,1863.0,4.0,0.41,0.32,0.34,11.46,0.67,0.65,3.08,0.4,6.54,4.66,0.66,0.67,0.65,11.0,5.0,4.0,20.0,0.0,0.0,0.0,1.0,0.0,8.0,7.0,11.0,16.0,2.0,4.0,14.0,8.0,2.0,7.0,13.0,3.0,0.0,0.33,0.34,0.0,0.0,0.0,0.0,19.91,16.0,15.95,3.0,0.13,0.0,0.0,0.8,0.8,0.78,21.84,0.98,1.29,5.81,0.74,12.93,9.25,0.97,0.97,0.95,24.0,7.0,12.0,43.0,0.0,1.0,0.0,1.0,0.0,18.0,11.0,24.0,31.0,1.0,2.0,21.0,11.0,7.0,8.0,29.0,2.0,0.0,0.72,0.26,0.0,0.0,0.0,0.0,42.9,31.0,31.03,3.0,0.26,0.12,0.12,1.13,1.12,1.1
84751888477447,2023,Theodore-Mcnabb,VGK,pairing,5on5,4,3539.0,5.0,0.44,0.49,0.52,31.31,3.01,2.22,7.45,1.09,17.88,12.36,2.86,3.05,2.9,32.0,12.0,18.0,62.0,3.0,7.0,0.0,2.0,0.0,18.0,14.0,29.0,41.0,3.0,6.0,34.0,24.0,7.0,4.0,30.0,11.0,3.0,0.85,1.34,0.81,2.0,1.0,0.0,64.59,44.0,44.9,2.0,0.46,1.39,1.39,2.08,2.11,2.06,29.85,3.89,2.21,8.01,1.1,14.98,10.81,3.62,3.88,3.61,29.0,12.0,23.0,64.0,1.0,8.0,0.0,2.0,0.0,16.0,14.0,28.0,40.0,3.0,9.0,40.0,14.0,9.0,4.0,27.0,8.0,6.0,0.84,1.03,2.01,1.0,0.0,0.0,62.91,41.0,40.23,2.0,0.46,1.86,1.86,2.49,2.43,2.35
847937984801888481477,2023,Zetterlund-Sturm-Smith,SJS,line,5on5,3,1255.0,9.0,0.85,0.53,0.67,10.85,1.11,0.64,2.6,0.33,5.45,3.88,1.08,1.07,1.05,12.0,2.0,3.0,17.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,12.0,14.0,1.0,2.0,20.0,9.0,5.0,2.0,11.0,1.0,2.0,0.34,0.14,0.62,0.0,0.0,0.0,16.59,14.0,13.81,0.0,0.14,0.3,0.3,0.94,0.92,0.92,4.89,0.2,0.24,1.15,0.16,2.89,2.37,0.2,0.21,0.21,4.0,3.0,8.0,15.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,6.0,1.0,2.0,8.0,4.0,2.0,3.0,7.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,15.82,7.0,7.4,1.0,0.05,0.0,0.0,0.24,0.26,0.26
847749384779338478542,2023,Reinhart-Barkov-Rodrigues,FLA,line,5on5,2,700.0,7.0,0.47,0.43,0.48,7.56,0.35,0.48,2.09,0.27,4.54,3.25,0.35,0.39,0.39,9.0,2.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,8.0,10.0,1.0,2.0,6.0,3.0,0.0,0.0,10.0,1.0,0.0,0.23,0.13,0.0,0.0,1.0,0.0,14.42,11.0,12.28,0.0,0.1,0.0,0.0,0.45,0.5,0.5,9.03,0.4,0.49,2.73,0.3,4.71,3.38,0.39,0.36,0.35,9.0,3.0,5.0,17.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,9.0,12.0,1.0,2.0,11.0,3.0,3.0,1.0,10.0,2.0,0.0,0.19,0.21,0.0,0.0,0.0,0.0,15.06,12.0,10.8,0.0,0.1,0.04,0.04,0.46,0.42,0.41
847740284793858480023,2023,Buchnevich-Thomas-Kyrou,STL,line,5on5,2,835.0,6.0,0.28,0.39,0.3,4.25,0.28,0.24,1.08,0.14,2.42,1.84,0.28,0.29,0.29,5.0,1.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,6.0,1.0,2.0,7.0,2.0,2.0,4.0,5.0,1.0,0.0,0.16,0.12,0.0,0.0,0.0,0.0,13.18,6.0,6.06,1.0,0.05,0.0,0.0,0.33,0.34,0.34,10.13,0.73,0.63,2.82,0.35,5.62,3.85,0.72,0.71,0.69,10.0,4.0,6.0,20.0,0.0,2.0,0.0,2.0,0.0,7.0,3.0,10.0,14.0,1.0,2.0,6.0,1.0,6.0,4.0,11.0,3.0,0.0,0.3,0.43,0.0,0.0,0.0,0.0,19.76,14.0,13.84,1.0,0.13,0.14,0.14,0.72,0.69,0.68
847931684802168482222,2023,Barabanov-Peterson-Kunin,SJS,line,5on5,2,704.0,7.0,0.47,0.27,0.33,5.4,0.52,0.38,1.39,0.19,2.74,1.79,0.52,0.5,0.5,4.0,3.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0,7.0,1.0,2.0,3.0,8.0,2.0,0.0,4.0,2.0,1.0,0.06,0.26,0.2,0.0,0.0,0.0,7.86,7.0,6.92,0.0,0.08,0.03,0.03,0.56,0.55,0.55,9.99,0.58,0.58,2.44,0.33,5.54,4.54,0.57,0.6,0.59,11.0,3.0,8.0,22.0,0.0,1.0,0.0,1.0,0.0,9.0,3.0,11.0,14.0,1.0,2.0,8.0,5.0,2.0,3.0,10.0,4.0,0.0,0.2,0.38,0.0,0.0,0.0,0.0,22.26,14.0,14.23,1.0,0.12,0.03,0.03,0.67,0.69,0.68
847696084793838480252,2023,Katchouk-Guttman-Athanasiou,CHI,line,5on5,2,688.0,8.0,0.31,0.44,0.38,5.48,0.39,0.35,1.19,0.2,3.29,2.58,0.38,0.39,0.38,7.0,1.0,6.0,14.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,7.0,1.0,2.0,7.0,1.0,1.0,0.0,7.0,1.0,0.0,0.2,0.19,0.0,1.0,0.0,0.0,14.15,8.0,7.98,0.0,0.07,0.0,0.0,0.46,0.47,0.45,9.54,0.88,0.68,2.28,0.31,5.24,3.62,0.86,0.84,0.83,9.0,4.0,5.0,18.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,9.0,13.0,0.0,0.0,3.0,3.0,1.0,1.0,10.0,1.0,2.0,0.25,0.15,0.48,0.0,0.0,0.0,17.36,13.0,12.75,0.0,0.14,0.26,0.26,0.76,0.72,0.71
84740138474574,2023,Cole-Myers,VAN,pairing,5on5,3,1970.0,6.0,0.33,0.34,0.33,10.45,1.27,0.76,2.49,0.37,5.37,3.73,1.23,1.3,1.27,8.0,6.0,5.0,19.0,2.0,1.0,0.0,2.0,0.0,8.0,1.0,6.0,12.0,5.0,10.0,14.0,24.0,5.0,6.0,8.0,4.0,2.0,0.21,0.45,0.61,0.0,1.0,1.0,19.16,14.0,13.94,4.0,0.16,0.3,0.3,1.13,1.16,1.16,22.32,2.57,1.71,5.81,0.81,10.36,7.73,2.41,2.52,2.36,22.0,7.0,8.0,37.0,1.0,8.0,1.0,0.0,0.0,13.0,7.0,21.0,28.0,5.0,10.0,25.0,8.0,3.0,6.0,17.0,10.0,2.0,0.47,1.5,0.61,0.0,0.0,1.0,36.5,29.0,29.0,4.0,0.36,1.36,1.36,1.57,1.53,1.5
847523584779038480068,2023,Deslauriers-Poehling-Hathaway,PHI,line,5on5,3,1515.0,4.0,0.75,0.58,0.61,15.63,1.55,0.95,3.62,0.5,7.32,6.07,1.52,1.57,1.55,16.0,4.0,6.0,26.0,0.0,2.0,0.0,1.0,1.0,10.0,6.0,16.0,20.0,4.0,8.0,11.0,11.0,1.0,1.0,14.0,4.0,2.0,0.51,0.47,0.56,0.0,0.0,0.0,26.71,20.0,20.74,1.0,0.2,0.47,0.47,1.28,1.32,1.31,9.19,0.51,0.49,2.43,0.31,5.42,3.84,0.5,0.5,0.49,8.0,5.0,6.0,19.0,0.0,1.0,0.0,2.0,0.0,5.0,5.0,8.0,13.0,1.0,2.0,10.0,10.0,0.0,3.0,11.0,2.0,0.0,0.29,0.21,0.0,0.0,0.0,0.0,18.08,13.0,12.5,3.0,0.1,0.13,0.13,0.47,0.46,0.46
84717248477435,2023,Graves-Letang,PIT,pairing,5on5,3,2836.0,5.0,0.49,0.41,0.5,24.66,1.66,1.46,6.03,0.77,13.5,10.58,1.64,1.73,1.7,24.0,10.0,6.0,40.0,4.0,2.0,1.0,1.0,0.0,16.0,11.0,20.0,30.0,5.0,10.0,29.0,21.0,6.0,11.0,27.0,6.0,1.0,0.58,0.88,0.21,3.0,1.0,0.0,41.74,34.0,35.25,6.0,0.3,0.02,0.02,1.95,2.02,1.99,23.75,1.71,1.58,6.53,0.9,13.78,9.49,1.66,1.73,1.67,20.0,14.0,24.0,58.0,2.0,3.0,0.0,4.0,2.0,14.0,9.0,18.0,32.0,0.0,0.0,24.0,14.0,6.0,3.0,29.0,4.0,1.0,0.97,0.47,0.27,1.0,1.0,0.0,56.14,34.0,33.44,1.0,0.33,0.46,0.46,1.59,1.59,1.57
84774988480803,2023,Nurse-Bouchard,EDM,pairing,5on5,3,996.0,19.0,0.32,0.62,0.56,7.36,0.39,0.41,1.87,0.24,4.15,2.95,0.38,0.38,0.37,8.0,2.0,6.0,16.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,8.0,10.0,2.0,4.0,6.0,8.0,0.0,2.0,9.0,0.0,1.0,0.17,0.0,0.22,0.0,0.0,0.0,15.49,10.0,9.79,1.0,0.08,0.22,0.22,0.25,0.25,0.25,6.19,0.83,0.46,1.48,0.19,2.89,2.14,0.83,0.84,0.84,6.0,2.0,2.0,10.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,6.0,3.0,6.0,6.0,2.0,3.0,3.0,6.0,0.0,2.0,0.32,0.0,0.51,1.0,0.0,1.0,10.89,8.0,8.3,3.0,0.1,0.0,0.0,0.93,0.94,0.94
84754558477220,2023,Dillon-Schmidt,WPG,pairing,5on5,3,1630.0,9.0,0.45,0.46,0.43,12.32,1.4,0.89,2.91,0.42,5.94,4.44,1.29,1.39,1.28,12.0,4.0,10.0,26.0,1.0,2.0,1.0,1.0,0.0,7.0,5.0,11.0,15.0,2.0,4.0,8.0,11.0,2.0,3.0,12.0,2.0,2.0,0.52,0.32,0.55,0.0,0.0,1.0,25.4,16.0,15.69,3.0,0.18,0.55,0.55,1.03,1.02,0.92,14.45,1.71,0.99,3.65,0.58,8.19,5.88,1.69,1.75,1.73,15.0,6.0,10.0,31.0,3.0,1.0,0.0,1.0,0.0,7.0,9.0,12.0,18.0,0.0,0.0,16.0,8.0,5.0,5.0,12.0,7.0,2.0,0.34,0.82,0.55,1.0,2.0,0.0,31.34,21.0,21.41,4.0,0.21,0.34,0.34,1.58,1.62,1.6
847646084783988480014,2023,Connor-Scheifele-Vilardi,WPG,line,5on5,3,1581.0,8.0,0.8,0.74,0.75,17.86,1.66,1.17,4.9,0.58,9.04,6.65,1.6,1.68,1.62,17.0,7.0,7.0,31.0,3.0,2.0,0.0,1.0,0.0,12.0,6.0,14.0,21.0,3.0,9.0,23.0,5.0,1.0,4.0,15.0,8.0,1.0,0.45,0.92,0.29,1.0,2.0,0.0,31.22,24.0,24.03,4.0,0.24,0.48,0.48,1.43,1.43,1.38,5.3,0.41,0.37,1.64,0.24,3.17,2.17,0.4,0.42,0.41,5.0,3.0,3.0,11.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,5.0,8.0,5.0,13.0,14.0,4.0,6.0,11.0,6.0,2.0,0.0,0.16,0.26,0.0,0.0,0.0,0.0,10.91,8.0,7.98,9.0,0.08,0.15,0.15,0.34,0.34,0.34
