,,,DraftKings,,,FanDuel,,,BetMGM,,,PointsBet,,
Player,Team,Opp,Reb + Ast,Over,Under,Reb + Ast,Over,Under,Reb + Ast,Over,Under,Reb + Ast,Over,Under
Nikola Jokic,DEN,DAL,,,,20.5,-120,-104,,,,20.5,-115,-115
Luka Doncic,DAL,@DEN,,,,17.5,-132,106,,,,17.5,-115,-115
Ben Simmons,BKN,@CHI,,,,16.5,-128,100,,,,16.5,-115,-115
Giannis Antetokounmpo,MIL,NYK,,,,15.5,-113,-113,15.5,-105,-125,15.5,-105,-125
Nikola Vucevic,CHI,BKN,,,,15.5,100,-128,15.5,-110,-120,15.5,-110,-120
Josh Giddey,OKC,GSW,,,,14.5,-113,-113,14.5,-130,100,,,
Kevon Looney,GSW,@OKC,,,,,,,13.5,-110,-120,13.5,-110,-120
Bam Adebayo,MIA,WAS,,,,12.5,-125,-102,12.5,-110,-120,12.5,-110,-120
Deandre Ayton,POR,MEM,,,,,,,12.5,-105,-125,,,
Draymond Green,GSW,@OKC,,,,12.5,102,-130,12.5,-105,-125,12.5,-105,-125
Julius Randle,NYK,@MIL,,,,12.5,-108,-118,12.5,100,-135,12.5,-105,-125
Jimmy Butler,MIA,WAS,,,,10.5,-132,104,10.5,-135,100,11.5,110,-145
Jamal Murray,DEN,DAL,,,,10.5,-138,108,,,,11.5,110,-145
Damian Lillard,MIL,NYK,,,,10.5,104,-132,10.5,100,-130,10.5,-105,-125
Shaedon Sharpe,POR,MEM,,,,10.5,108,-138,9.5,-145,110,9.5,-140,105
Marcus Smart,MEM,@POR,,,,10.5,106,-136,10.5,105,-140,10.5,100,-130
Xavier Tillman,MEM,@POR,,,,10.5,-108,-118,10.5,-120,-110,10.5,-115,-115
Jalen Williams,OKC,GSW,,,,10.5,110,-140,10.5,105,-140,10.5,110,-145
Deni Avdija,WAS,@MIA,,,,9.5,-118,-108,9.5,-110,-120,9.5,-105,-125
Desmond Bane,MEM,@POR,,,,8.5,-125,-102,8.5,-140,105,9.5,110,-145
Stephen Curry,GSW,@OKC,,,,9.5,-111,-115,9.5,-115,-115,9.5,-115,-115
DeMar DeRozan,CHI,BKN,,,,9.5,-102,-125,9.5,-110,-120,9.5,100,-130
Chet Holmgren,OKC,GSW,,,,,,,,,,9.5,-120,-110
Jaren Jackson,MEM,@POR,,,,,,,9.5,-130,100,,,
Tyus Jones,WAS,@MIA,,,,9.5,106,-136,,,,8.5,-120,-110
Kyle Kuzma,WAS,@MIA,,,,8.5,-138,108,8.5,-130,100,9.5,115,-150
Mitchell Robinson,NYK,@MIL,,,,,,,9.5,-125,-105,,,
Mikal Bridges,BKN,@CHI,,,,8.5,106,-136,8.5,105,-140,8.5,110,-145
Jalen Brunson,NYK,@MIL,,,,8.5,104,-132,7.5,-145,110,8.5,110,-145
Aaron Gordon,DEN,DAL,,,,8.5,106,-136,,,,8.5,105,-140
Tyler Herro,MIA,WAS,,,,8.5,-120,-106,8.5,-110,-120,8.5,-115,-115
Kyle Lowry,MIA,WAS,,,,8.5,100,-128,8.5,105,-145,8.5,105,-140
Dorian Finney-Smith,BKN,@CHI,,,,,,,7.5,110,-145,,,
Daniel Gafford,WAS,@MIA,,,,,,,7.5,105,-140,,,
Jerami Grant,POR,MEM,,,,7.5,-106,-120,7.5,-110,-120,7.5,-115,-115
Zach LaVine,CHI,BKN,,,,6.5,-140,110,6.5,-150,110,7.5,135,-175
Kevin Love,MIA,WAS,,,,,,,7.5,105,-140,,,
Coby White,CHI,BKN,,,,7.5,102,-130,7.5,105,-135,7.5,105,-140
RJ Barrett,NYK,@MIL,,,,,,,6.5,105,-145,6.5,100,-130
Luguentz Dort,OKC,GSW,,,,,,,6.5,105,-140,,,
Jordan Poole,WAS,@MIA,,,,5.5,-130,102,5.5,-145,105,6.5,125,-165
Ziaire Williams,MEM,@POR,,,,,,,6.5,-120,-110,,,
Brook Lopez,MIL,NYK,,,,,,,5.5,-110,-120,,,
Cam Thomas,BKN,@CHI,,,,,,,5.5,105,-145,,,
Andrew Wiggins,GSW,@OKC,,,,,,,5.5,105,-140,,,
Malik Beasley,MIL,NYK,,,,,,,4.5,-115,-115,,,
Quentin Grimes,NYK,@MIL,,,,,,,3.5,120,-160,,,
