,,,DraftKings,,,FanDuel,,,BetMGM,,,PointsBet,,
Player,Team,Opp,Points,Over,Under,Points,Over,Under,Points,Over,Under,Points,Over,Under
Donovan Mitchell,CLE,@IND,,,,32.5,-106,-120,,,,,,
Luka Doncic,DAL,@DEN,31.5,-115,-110,31.5,-115,-111,31.5,-120,-115,31.5,-115,-115
Stephen Curry,GSW,@OKC,28.5,-125,-105,29.5,-104,-122,28.5,-115,-115,28.5,-125,-105
Giannis Antetokounmpo,MIL,NYK,,,,27.5,-104,-122,27.5,-120,-110,27.5,-115,-115
Desmond Bane,MEM,@POR,,,,25.5,-118,-108,26.5,-110,-120,26.5,-105,-125
Nikola Jokic,DEN,DAL,26.5,-110,-115,26.5,-106,-120,26.5,-110,-120,26.5,-115,-115
Zach LaVine,CHI,BKN,25.5,100,-125,25.5,-104,-122,25.5,-120,-110,25.5,-110,-120
Damian Lillard,MIL,NYK,,,,24.5,-115,-111,24.5,-115,-120,25.5,-105,-125
Mikal Bridges,BKN,@CHI,22.5,-115,-110,23.5,-111,-115,22.5,-120,-115,22.5,-115,-115
Jalen Brunson,NYK,@MIL,,,,23.5,-111,-115,23.5,-110,-120,23.5,-120,-110
Tyler Herro,MIA,WAS,23.5,-125,-105,23.5,-122,-104,23.5,-125,-105,23.5,-125,-105
Cam Thomas,BKN,@CHI,,,,23.5,-111,-115,23.5,-125,-105,,,
Shaedon Sharpe,POR,MEM,,,,22.5,-120,-106,21.5,-120,-110,21.5,-115,-115
DeMar DeRozan,CHI,BKN,20.5,-120,-110,21.5,-108,-118,20.5,-120,-110,20.5,-115,-115
Kyle Kuzma,WAS,@MIA,21.5,-110,-115,21.5,-106,-120,21.5,-110,-120,21.5,-115,-115
Bam Adebayo,MIA,WAS,20.5,100,-125,20.5,-104,-122,20.5,-105,-130,20.5,100,-130
Jerami Grant,POR,MEM,,,,20.5,-120,-106,20.5,-130,-105,20.5,-125,-105
Jaren Jackson,MEM,@POR,,,,20.5,-115,-113,20.5,-125,-105,20.5,-120,-110
Jamal Murray,DEN,DAL,20.5,-110,-115,20.5,-111,-115,20.5,-115,-115,20.5,-115,-115
Jimmy Butler,MIA,WAS,19.5,-115,-110,19.5,-108,-118,19.5,-120,-115,19.5,-115,-115
Jalen Williams,OKC,GSW,19.5,-110,-115,19.5,-113,-113,19.5,-105,-125,19.5,-115,-115
RJ Barrett,NYK,@MIL,,,,,,,18.5,-105,-125,18.5,-110,-120
Jordan Poole,WAS,@MIA,18.5,-110,-115,18.5,-122,-104,18.5,-115,-115,18.5,-115,-115
Julius Randle,NYK,@MIL,,,,18.5,-108,-118,17.5,-125,-105,18.5,-110,-120
Klay Thompson,GSW,@OKC,18.5,-115,-110,18.5,-102,-125,,,,18.5,-115,-115
Nikola Vucevic,CHI,BKN,18.5,-110,-120,17.5,-122,-104,18.5,-110,-120,18.5,-115,-115
Josh Giddey,OKC,GSW,17.5,-115,-110,17.5,100,-128,17.5,-120,-110,,,
Chet Holmgren,OKC,GSW,15.5,-120,-105,15.5,-115,-111,15.5,-120,-110,15.5,-120,-110
Evan Mobley,CLE,@IND,,,,15.5,-111,-115,,,,,,
Myles Turner,IND,CLE,,,,15.5,-102,-125,,,,,,
Marcus Smart,MEM,@POR,,,,14.5,-106,-120,14.5,-110,-120,14.5,-115,-115
Deandre Ayton,POR,MEM,,,,12.5,-122,-104,13.5,-110,-120,13.5,-115,-115
Luguentz Dort,OKC,GSW,13.5,-110,-120,13.5,-111,-115,13.5,-110,-120,13.5,-110,-120
Michael Porter,DEN,DAL,13.5,-105,-125,13.5,-106,-120,13.5,-105,-125,13.5,-110,-120
Andrew Wiggins,GSW,@OKC,12.5,-130,100,12.5,-113,-113,12.5,-130,100,13.5,110,-145
Aaron Gordon,DEN,DAL,12.5,-110,-115,12.5,-113,-113,12.5,-110,-120,12.5,-115,-115
Brook Lopez,MIL,NYK,,,,11.5,104,-132,10.5,-115,-115,10.5,-110,-120
Max Strus,CLE,@IND,,,,11.5,-125,-102,,,,,,
Coby White,CHI,BKN,10.5,-125,100,10.5,-113,-113,10.5,-145,105,11.5,100,-130
Deni Avdija,WAS,@MIA,10.5,-105,-125,10.5,100,-128,10.5,-105,-130,10.5,-105,-125
Dorian Finney-Smith,BKN,@CHI,10.5,-120,-110,10.5,-108,-118,10.5,-120,-110,10.5,-115,-115
Malik Beasley,MIL,NYK,,,,9.5,-102,-125,9.5,-115,-115,,,
Kentavious Caldwell-Pope,DEN,DAL,9.5,-110,-115,9.5,-122,-104,9.5,-115,-120,9.5,-115,-115
Tyus Jones,WAS,@MIA,9.5,-130,100,9.5,-130,102,9.5,-130,100,9.5,-130,100
Xavier Tillman,MEM,@POR,,,,9.5,-111,-115,9.5,-120,-110,9.5,-120,-110
Ziaire Williams,MEM,@POR,,,,9.5,-120,-106,9.5,-120,-115,9.5,-125,-105
Daniel Gafford,WAS,@MIA,8.5,-115,-110,8.5,-128,100,8.5,-120,-110,8.5,-115,-115
