,,,DraftKings,,,FanDuel,,,BetMGM,,,PointsBet,,
Khris Middleton,MIL,NYK,,,,8.5,-104,-122,,,,,,
Bobby Portis,MIL,NYK,,,,8.5,-104,-122,,,,,,
Draymond Green,GSW,@OKC,7.5,-115,-115,7.5,-108,-118,7.5,-115,-115,7.5,-115,-115
Kevon Looney,GSW,@OKC,7.5,-105,-125,7.5,100,-128,7.5,-105,-125,7.5,-110,-120
Kevin Love,MIA,WAS,7.5,-115,-110,7.5,-111,-115,7.5,-120,-115,7.5,-115,-115
Kyle Lowry,MIA,WAS,7.5,-105,-120,7.5,-106,-120,7.5,-110,-120,7.5,-115,-115
Ben Simmons,BKN,@CHI,7.5,-130,100,7.5,-122,-104,,,,7.5,-130,100
Pat Connaughton,MIL,NYK,,,,6.5,-108,-118,,,,,,
Quentin Grimes,NYK,@MIL,,,,6.5,-118,-108,6.5,-130,-105,6.5,-125,-105
Mitchell Robinson,NYK,@MIL,,,,6.5,-111,-115,6.5,-130,-105,6.5,-115,-115
