,,,DraftKings,,,FanDuel,,,BetMGM,,,PointsBet,,
Player,Team,Opp,Turnovers,Over,Under,Turnovers,Over,Under,Turnovers,Over,Under,Turnovers,Over,Under
Giannis Antetokounmpo,MIL,NYK,,,,,,,3.5,105,-140,,,
Jordan Poole,WAS,@MIA,,,,,,,3.5,130,-175,,,
Bam Adebayo,MIA,WAS,,,,,,,2.5,130,-175,,,
Desmond Bane,MEM,@POR,,,,,,,2.5,120,-160,,,
RJ Barrett,NYK,@MIL,,,,,,,2.5,120,-160,,,
Jalen Brunson,NYK,@MIL,,,,,,,2.5,130,-175,,,
Stephen Curry,GSW,@OKC,,,,,,,2.5,-165,125,,,
Josh Giddey,OKC,GSW,,,,,,,2.5,-110,-120,,,
Jerami Grant,POR,MEM,,,,,,,2.5,-120,-110,,,
Tyler Herro,MIA,WAS,,,,,,,2.5,-110,-120,,,
Chet Holmgren,OKC,GSW,,,,,,,2.5,135,-175,,,
Jaren Jackson,MEM,@POR,,,,,,,2.5,125,-165,,,
Kyle Kuzma,WAS,@MIA,,,,,,,2.5,140,-190,,,
Zach LaVine,CHI,BKN,,,,,,,2.5,105,-145,,,
Damian Lillard,MIL,NYK,,,,,,,2.5,-140,105,,,
Julius Randle,NYK,@MIL,,,,,,,2.5,-160,120,,,
Shaedon Sharpe,POR,MEM,,,,,,,2.5,-175,130,,,
Marcus Smart,MEM,@POR,,,,,,,2.5,-120,-110,,,
Cam Thomas,BKN,@CHI,,,,,,,2.5,115,-155,,,
Deni Avdija,WAS,@MIA,,,,,,,1.5,115,-150,,,
Deandre Ayton,POR,MEM,,,,,,,1.5,-110,-120,,,
Mikal Bridges,BKN,@CHI,,,,,,,1.5,-200,145,,,
Jimmy Butler,MIA,WAS,,,,,,,1.5,105,-140,,,
DeMar DeRozan,CHI,BKN,,,,,,,1.5,-125,-105,,,
Draymond Green,GSW,@OKC,,,,,,,1.5,-190,140,,,
Tyus Jones,WAS,@MIA,,,,,,,1.5,155,-210,,,
Kyle Lowry,MIA,WAS,,,,,,,1.5,130,-175,,,
Klay Thompson,GSW,@OKC,,,,,,,1.5,-150,110,,,
Xavier Tillman,MEM,@POR,,,,,,,1.5,160,-225,,,
Nikola Vucevic,CHI,BKN,,,,,,,1.5,-140,105,,,
Coby White,CHI,BKN,,,,,,,1.5,125,-165,,,
Andrew Wiggins,GSW,@OKC,,,,,,,1.5,150,-200,,,
Ziaire Williams,MEM,@POR,,,,,,,1.5,125,-165,,,
Jalen Williams,OKC,GSW,,,,,,,1.5,-185,135,,,
Malik Beasley,MIL,NYK,,,,,,,0.5,-200,145,,,
Luguentz Dort,OKC,GSW,,,,,,,0.5,-225,165,,,
Dorian Finney-Smith,BKN,@CHI,,,,,,,0.5,-250,180,,,
Daniel Gafford,WAS,@MIA,,,,,,,0.5,-200,145,,,
Quentin Grimes,NYK,@MIL,,,,,,,0.5,-105,-130,,,
Kevon Looney,GSW,@OKC,,,,,,,0.5,100,-130,,,
Brook Lopez,MIL,NYK,,,,,,,0.5,-225,165,,,
Kevin Love,MIA,WAS,,,,,,,0.5,-135,100,,,
Mitchell Robinson,NYK,@MIL,,,,,,,0.5,-130,-105,,,
