,,,DraftKings,,,FanDuel,,,BetMGM,,,PointsBet,,
Player,Team,Opp,Blocks,Over,Under,Blocks,Over,Under,Blocks,Over,Under,Blocks,Over,Under
Jaren Jackson,MEM,@POR,,,,,,,2.5,130,-175,,,
Daniel Gafford,WAS,@MIA,,,,,,,1.5,125,-165,,,
Jerami Grant,POR,MEM,,,,,,,1.5,180,-250,,,
Chet Holmgren,OKC,GSW,,,,1.5,-142,112,1.5,-150,110,,,
Brook Lopez,MIL,NYK,,,,,,,1.5,-110,-120,,,
Mitchell Robinson,NYK,@MIL,,,,,,,1.5,110,-150,,,
Bam Adebayo,MIA,WAS,,,,,,,0.5,-140,105,,,
Giannis Antetokounmpo,MIL,NYK,,,,,,,0.5,-135,100,,,
Deni Avdija,WAS,@MIA,,,,,,,0.5,200,-275,,,
Deandre Ayton,POR,MEM,,,,,,,0.5,-175,130,,,
Desmond Bane,MEM,@POR,,,,,,,0.5,250,-375,,,
RJ Barrett,NYK,@MIL,,,,,,,0.5,230,-350,,,
Malik Beasley,MIL,NYK,,,,,,,0.5,450,-750,,,
Mikal Bridges,BKN,@CHI,,,,,,,0.5,135,-185,,,
Jalen Brunson,NYK,@MIL,,,,,,,0.5,600,-1200,,,
Jimmy Butler,MIA,WAS,,,,,,,0.5,125,-165,,,
Stephen Curry,GSW,@OKC,,,,,,,0.5,180,-250,,,
DeMar DeRozan,CHI,BKN,,,,,,,0.5,135,-185,,,
Luguentz Dort,OKC,GSW,,,,,,,0.5,170,-225,,,
Dorian Finney-Smith,BKN,@CHI,,,,,,,0.5,-110,-125,,,
Josh Giddey,OKC,GSW,,,,,,,0.5,225,-350,,,
Draymond Green,GSW,@OKC,,,,0.5,-140,110,0.5,-150,110,,,
Quentin Grimes,NYK,@MIL,,,,,,,0.5,360,-600,,,
Tyler Herro,MIA,WAS,,,,,,,0.5,375,-650,,,
Tyus Jones,WAS,@MIA,,,,,,,0.5,425,-750,,,
Kyle Kuzma,WAS,@MIA,,,,,,,0.5,145,-200,,,
Zach LaVine,CHI,BKN,,,,,,,0.5,290,-450,,,
Damian Lillard,MIL,NYK,,,,,,,0.5,290,-450,,,
Kevon Looney,GSW,@OKC,,,,,,,0.5,105,-140,,,
Kevin Love,MIA,WAS,,,,,,,0.5,280,-400,,,
Kyle Lowry,MIA,WAS,,,,,,,0.5,310,-450,,,
Jordan Poole,WAS,@MIA,,,,,,,0.5,240,-350,,,
Julius Randle,NYK,@MIL,,,,,,,0.5,260,-375,,,
Shaedon Sharpe,POR,MEM,,,,,,,0.5,110,-150,,,
Marcus Smart,MEM,@POR,,,,,,,0.5,200,-275,,,
Cam Thomas,BKN,@CHI,,,,,,,0.5,180,-250,,,
Klay Thompson,GSW,@OKC,,,,,,,0.5,115,-155,,,
Xavier Tillman,MEM,@POR,,,,,,,0.5,-120,-110,,,
Nikola Vucevic,CHI,BKN,,,,,,,0.5,105,-140,,,
Coby White,CHI,BKN,,,,,,,0.5,400,-650,,,
Andrew Wiggins,GSW,@OKC,,,,0.5,-104,-122,0.5,-120,-110,,,
Jalen Williams,OKC,GSW,,,,,,,0.5,220,-300,,,
Ziaire Williams,MEM,@POR,,,,,,,0.5,325,-500,,,
