,,,DraftKings,,,FanDuel,,,BetMGM,,,PointsBet,,
Player,Team,Opp,Rebounds,Over,Under,Rebounds,Over,Under,Rebounds,Over,Under,Rebounds,Over,Under
Nikola Jokic,DEN,DAL,,,,12.5,102,-130,,,,12.5,105,-140
Nikola Vucevic,CHI,BKN,12.5,-115,-110,12.5,-106,-120,12.5,-120,-110,12.5,-115,-115
Giannis Antetokounmpo,MIL,NYK,,,,10.5,-122,-104,10.5,-130,-105,10.5,-120,-110
Deandre Ayton,POR,MEM,,,,10.5,-122,-104,10.5,-135,100,10.5,-125,-105
Kevon Looney,GSW,@OKC,10.5,-120,-105,10.5,-118,-108,10.5,-125,-105,10.5,-120,-110
Bam Adebayo,MIA,WAS,9.5,-115,-110,9.5,-128,100,9.5,-115,-115,9.5,-115,-115
Mitchell Robinson,NYK,@MIL,,,,9.5,102,-130,8.5,-145,110,8.5,-160,120
Ben Simmons,BKN,@CHI,9.5,105,-135,9.5,100,-128,,,,9.5,100,-130
Luka Doncic,DAL,@DEN,8.5,-140,110,8.5,-125,-102,,,,8.5,-145,110
Jaren Jackson,MEM,@POR,,,,8.5,114,-146,7.5,-145,105,7.5,-140,105
Julius Randle,NYK,@MIL,,,,8.5,-106,-120,8.5,110,-145,8.5,-115,-115
Josh Giddey,OKC,GSW,7.5,-120,-105,7.5,-113,-113,7.5,-135,100,,,
Chet Holmgren,OKC,GSW,7.5,105,-135,7.5,106,-136,7.5,105,-140,7.5,-110,-120
Xavier Tillman,MEM,@POR,,,,7.5,-120,-106,7.5,-130,100,7.5,-130,100
Myles Turner,IND,CLE,7.5,-120,-110,7.5,-136,106,,,,7.5,-115,-115
Deni Avdija,WAS,@MIA,6.5,100,-130,6.5,-106,-120,6.5,100,-130,6.5,100,-130
Kyle Kuzma,WAS,@MIA,6.5,105,-135,6.5,104,-132,6.5,105,-140,6.5,100,-130
Michael Porter,DEN,DAL,6.5,-115,-110,6.5,-106,-120,,,,6.5,-115,-115
Bobby Portis,MIL,NYK,,,,5.5,-146,114,,,,6.5,105,-140
Jimmy Butler,MIA,WAS,5.5,-110,-115,5.5,-120,-106,5.5,-115,-120,5.5,-115,-115
Dorian Finney-Smith,BKN,@CHI,5.5,100,-130,5.5,114,-146,5.5,100,-135,5.5,-105,-125
Daniel Gafford,WAS,@MIA,5.5,-135,105,5.5,-146,114,5.5,-140,105,5.5,-130,100
Aaron Gordon,DEN,DAL,5.5,-120,-110,5.5,-113,-113,,,,5.5,-115,-115
Draymond Green,GSW,@OKC,5.5,-125,-105,5.5,-115,-111,5.5,-135,100,5.5,-125,-105
Tyler Herro,MIA,WAS,4.5,-145,115,5.5,122,-156,4.5,-150,110,4.5,-145,110
Kevin Love,MIA,WAS,5.5,-115,-110,5.5,-111,-115,5.5,-115,-115,5.5,-115,-115
Shaedon Sharpe,POR,MEM,,,,5.5,110,-140,5.5,120,-160,5.5,120,-160
Jalen Williams,OKC,GSW,5.5,105,-135,5.5,114,-146,5.5,105,-140,5.5,100,-130
Desmond Bane,MEM,@POR,,,,4.5,-120,-106,4.5,-130,100,4.5,-130,100
RJ Barrett,NYK,@MIL,,,,,,,3.5,-165,125,4.5,120,-160
Mikal Bridges,BKN,@CHI,4.5,-145,115,4.5,-136,106,4.5,-150,115,4.5,-145,110
Stephen Curry,GSW,@OKC,4.5,-135,105,4.5,-128,100,4.5,-135,105,4.5,-140,105
Luguentz Dort,OKC,GSW,4.5,-125,-105,4.5,-104,-122,4.5,-125,-105,4.5,-120,-110
Jerami Grant,POR,MEM,,,,4.5,-130,102,4.5,-150,110,4.5,-140,105
Damian Lillard,MIL,NYK,,,,4.5,122,-156,4.5,105,-140,4.5,110,-145
Brook Lopez,MIL,NYK,,,,4.5,-113,-113,4.5,-125,-105,4.5,-130,100
Klay Thompson,GSW,@OKC,4.5,120,-155,3.5,-158,124,4.5,120,-160,4.5,115,-150
Ziaire Williams,MEM,@POR,,,,4.5,-113,-113,4.5,-130,-105,4.5,-125,-105
Malik Beasley,MIL,NYK,,,,,,,3.5,130,-175,3.5,125,-165
Jalen Brunson,NYK,@MIL,,,,3.5,112,-142,3.5,110,-145,3.5,105,-140
DeMar DeRozan,CHI,BKN,3.5,-160,125,3.5,-138,108,3.5,-160,120,3.5,-150,115
Zach LaVine,CHI,BKN,3.5,-150,120,3.5,-138,108,3.5,-155,115,3.5,-145,110
Kyle Lowry,MIA,WAS,3.5,-105,-125,3.5,-106,-120,3.5,-110,-125,3.5,100,-130
Jamal Murray,DEN,DAL,3.5,-140,110,3.5,-148,116,,,,3.5,-145,110
Marcus Smart,MEM,@POR,,,,3.5,130,-170,3.5,120,-160,3.5,120,-160
Cam Thomas,BKN,@CHI,,,,3.5,124,-160,3.5,105,-145,,,
Andrew Wiggins,GSW,@OKC,,,,3.5,-128,100,3.5,-165,125,3.5,-160,120
Kentavious Caldwell-Pope,DEN,DAL,2.5,-105,-125,2.5,-104,-122,,,,2.5,-110,-120
Tyus Jones,WAS,@MIA,2.5,-125,-105,2.5,-130,102,2.5,-125,-105,2.5,-115,-115
Khris Middleton,MIL,NYK,,,,2.5,-128,100,,,,,,
Jordan Poole,WAS,@MIA,2.5,-115,-110,2.5,-108,-118,2.5,-120,-110,2.5,-115,-115
Coby White,CHI,BKN,2.5,-165,125,2.5,-158,124,2.5,-165,125,2.5,-160,120
Quentin Grimes,NYK,@MIL,,,,,,,1.5,-185,135,,,
