,,,DraftKings,,,FanDuel,,,BetMGM,,,PointsBet,,
Player,Team,Opp,Assists,Over,Under,Assists,Over,Under,Assists,Over,Under,Assists,Over,Under
Luka Doncic,DAL,@DEN,8.5,-105,-120,9.5,112,-142,,,,8.5,-110,-120
Nikola Jokic,DEN,DAL,8.5,100,-125,8.5,-111,-115,,,,8.5,-110,-120
Jamal Murray,DEN,DAL,6.5,-145,115,6.5,-142,112,,,,7.5,120,-160
Ben Simmons,BKN,@CHI,7.5,105,-130,7.5,-115,-111,,,,7.5,100,-130
Josh Giddey,OKC,GSW,6.5,-140,110,6.5,-140,110,6.5,-145,105,,,
Draymond Green,GSW,@OKC,6.5,-105,-120,6.5,-108,-118,6.5,-105,-125,6.5,-110,-120
Tyus Jones,WAS,@MIA,5.5,-150,115,6.5,102,-130,5.5,-155,115,5.5,-150,115
Marcus Smart,MEM,@POR,,,,6.5,-154,120,6.5,-140,105,6.5,-140,105
Jimmy Butler,MIA,WAS,5.5,105,-140,5.5,112,-142,5.5,105,-145,5.5,100,-130
DeMar DeRozan,CHI,BKN,5.5,110,-145,5.5,102,-130,5.5,100,-135,5.5,105,-140
Damian Lillard,MIL,NYK,,,,5.5,-156,122,5.5,-145,105,5.5,-145,110
Giannis Antetokounmpo,MIL,NYK,,,,4.5,-113,-113,4.5,-110,-120,4.5,-110,-120
Desmond Bane,MEM,@POR,,,,3.5,-162,126,4.5,125,-165,4.5,115,-150
Jalen Brunson,NYK,@MIL,,,,4.5,-140,110,4.5,-120,-110,4.5,-120,-110
Stephen Curry,GSW,@OKC,4.5,-120,-110,4.5,-125,-102,4.5,-120,-110,4.5,-120,-110
Kyle Lowry,MIA,WAS,4.5,-115,-110,4.5,-120,-104,4.5,-115,-115,4.5,-115,-115
Shaedon Sharpe,POR,MEM,,,,4.5,-132,104,4.5,-140,105,4.5,-125,-105
Coby White,CHI,BKN,4.5,125,-160,4.5,120,-154,4.5,120,-160,4.5,120,-160
Jalen Williams,OKC,GSW,4.5,-115,-110,4.5,-140,110,4.5,-120,-110,4.5,-125,-105
Mikal Bridges,BKN,@CHI,3.5,130,-165,3.5,130,-166,3.5,125,-165,3.5,130,-170
Tyler Herro,MIA,WAS,3.5,-105,-125,3.5,-104,-122,3.5,-105,-130,3.5,-105,-125
Jordan Poole,WAS,@MIA,3.5,120,-150,3.5,126,-162,3.5,120,-155,3.5,115,-150
Julius Randle,NYK,@MIL,,,,3.5,-136,106,3.5,-145,105,3.5,-130,100
Bam Adebayo,MIA,WAS,2.5,-140,110,2.5,-166,128,2.5,-145,110,2.5,-130,100
Deni Avdija,WAS,@MIA,2.5,-165,130,2.5,-180,140,2.5,-165,125,2.5,-160,120
RJ Barrett,NYK,@MIL,,,,,,,2.5,145,-190,1.5,-190,145
Aaron Gordon,DEN,DAL,2.5,-105,-120,2.5,-104,-122,,,,2.5,-110,-120
Jerami Grant,POR,MEM,,,,2.5,-102,-125,2.5,-110,-120,2.5,-115,-115
Chet Holmgren,OKC,GSW,,,,,,,2.5,140,-190,2.5,140,-180
Kyle Kuzma,WAS,@MIA,2.5,-115,-110,2.5,-120,-108,2.5,100,-130,2.5,-115,-115
Zach LaVine,CHI,BKN,2.5,-160,125,2.5,-162,128,2.5,-160,120,2.5,-150,115
Kevon Looney,GSW,@OKC,2.5,-110,-115,,,,2.5,-110,-120,2.5,-115,-115
Khris Middleton,MIL,NYK,,,,2.5,100,-128,,,,,,
Xavier Tillman,MEM,@POR,,,,2.5,-128,-102,2.5,-120,-110,2.5,-125,-105
Nikola Vucevic,CHI,BKN,2.5,-130,100,2.5,-128,100,2.5,-135,100,2.5,-130,100
Deandre Ayton,POR,MEM,,,,,,,1.5,115,-155,,,
Malik Beasley,MIL,NYK,,,,,,,1.5,105,-145,,,
Luguentz Dort,OKC,GSW,,,,,,,1.5,100,-135,,,
Dorian Finney-Smith,BKN,@CHI,,,,,,,1.5,-125,-105,,,
Daniel Gafford,WAS,@MIA,,,,,,,1.5,160,-225,,,
Quentin Grimes,NYK,@MIL,,,,,,,1.5,175,-250,,,
Jaren Jackson,MEM,@POR,,,,,,,1.5,-130,-105,,,
Kevin Love,MIA,WAS,,,,,,,1.5,100,-135,,,
Cam Thomas,BKN,@CHI,,,,,,,1.5,-150,115,,,
Klay Thompson,GSW,@OKC,,,,,,,1.5,-115,-115,,,
Andrew Wiggins,GSW,@OKC,,,,,,,1.5,160,-225,,,
Ziaire Williams,MEM,@POR,,,,,,,1.5,-145,105,,,
Brook Lopez,MIL,NYK,,,,,,,0.5,-150,110,,,
Mitchell Robinson,NYK,@MIL,,,,,,,0.5,-135,100,,,
