,,,DraftKings,,,FanDuel,,,BetMGM,,,PointsBet,,
Player,Team,Opp,Pts + Ast,Over,Under,Pts + Ast,Over,Under,Pts + Ast,Over,Under,Pts + Ast,Over,Under
Luka Doncic,DAL,@DEN,40.5,-110,-115,40.5,-122,-104,,,,40.5,-115,-115
Nikola Jokic,DEN,DAL,34.5,-120,-105,34.5,-115,-111,,,,35.5,-105,-125
Stephen Curry,GSW,@OKC,33.5,-110,-120,33.5,-120,-106,33.5,-110,-120,33.5,-125,-105
Giannis Antetokounmpo,MIL,NYK,,,,31.5,-122,-104,32.5,-110,-120,32.5,-110,-120
Desmond Bane,MEM,@POR,,,,29.5,-122,-104,30.5,-120,-110,31.5,100,-130
Damian Lillard,MIL,NYK,,,,30.5,-115,-108,30.5,-120,-115,31.5,100,-130
Jalen Brunson,NYK,@MIL,,,,28.5,-108,-118,28.5,-105,-125,28.5,-115,-115
Zach LaVine,CHI,BKN,28.5,-120,-110,28.5,-104,-122,28.5,-120,-110,28.5,-110,-120
Tyler Herro,MIA,WAS,27.5,-115,-110,27.5,-115,-111,27.5,-120,-115,27.5,-115,-115
Jamal Murray,DEN,DAL,27.5,-120,-110,27.5,-106,-120,,,,27.5,-115,-115
Shaedon Sharpe,POR,MEM,,,,27.5,-115,-111,26.5,-120,-110,26.5,-115,-115
Mikal Bridges,BKN,@CHI,25.5,-120,-105,26.5,-115,-111,25.5,-125,-110,26.5,100,-130
DeMar DeRozan,CHI,BKN,26.5,-110,-120,26.5,-125,-102,26.5,-110,-120,26.5,-105,-125
Jimmy Butler,MIA,WAS,25.5,-105,-125,24.5,-120,-106,24.5,-125,-105,25.5,-105,-125
Cam Thomas,BKN,@CHI,,,,,,,25.5,-125,-105,,,
Josh Giddey,OKC,GSW,24.5,-120,-105,24.5,-102,-125,24.5,-120,-110,,,
Kyle Kuzma,WAS,@MIA,23.5,-120,-105,24.5,-102,-125,23.5,-125,-110,24.5,100,-130
Jalen Williams,OKC,GSW,24.5,-115,-115,24.5,-111,-115,24.5,-105,-130,24.5,-110,-120
Bam Adebayo,MIA,WAS,23.5,100,-125,23.5,-106,-120,22.5,-125,-105,23.5,-115,-115
Jerami Grant,POR,MEM,,,,23.5,-108,-118,23.5,-120,-110,23.5,-115,-115
Jaren Jackson,MEM,@POR,,,,,,,22.5,-120,-110,,,
Jordan Poole,WAS,@MIA,21.5,-120,-105,22.5,-106,-120,21.5,-120,-110,22.5,-105,-125
Julius Randle,NYK,@MIL,,,,22.5,-106,-120,21.5,-125,-105,22.5,100,-130
Marcus Smart,MEM,@POR,,,,21.5,-113,-113,21.5,-120,-110,21.5,-115,-115
Nikola Vucevic,CHI,BKN,21.5,-105,-125,20.5,-115,-111,21.5,-105,-130,21.5,-110,-120
RJ Barrett,NYK,@MIL,,,,,,,20.5,-110,-120,20.5,-115,-115
Klay Thompson,GSW,@OKC,,,,,,,20.5,-110,-120,,,
Chet Holmgren,OKC,GSW,17.5,-125,-105,,,,17.5,-125,-105,18.5,-105,-125
Tyus Jones,WAS,@MIA,16.5,-105,-125,16.5,-111,-115,16.5,-105,-125,16.5,-105,-125
Aaron Gordon,DEN,DAL,14.5,-130,100,15.5,-102,-125,,,,15.5,-105,-125
Ben Simmons,BKN,@CHI,15.5,-105,-120,15.5,-108,-118,,,,15.5,100,-130
Myles Turner,IND,CLE,15.5,-125,100,,,,,,,,,
Coby White,CHI,BKN,15.5,-105,-125,14.5,-128,100,15.5,-105,-125,15.5,100,-130
Deandre Ayton,POR,MEM,,,,,,,14.5,-120,-110,,,
Luguentz Dort,OKC,GSW,14.5,-120,-105,,,,14.5,-125,-105,,,
Draymond Green,GSW,@OKC,14.5,100,-125,14.5,104,-132,14.5,100,-130,14.5,105,-140
Michael Porter,DEN,DAL,14.5,-120,-105,,,,,,,,,
Andrew Wiggins,GSW,@OKC,14.5,-105,-120,,,,14.5,-105,-125,,,
Deni Avdija,WAS,@MIA,13.5,-110,-120,13.5,-106,-120,13.5,-105,-125,13.5,-110,-120
Dorian Finney-Smith,BKN,@CHI,12.5,-110,-115,,,,12.5,-115,-115,,,
Kyle Lowry,MIA,WAS,12.5,100,-125,12.5,100,-128,12.5,-105,-130,12.5,-105,-125
Xavier Tillman,MEM,@POR,,,,12.5,-106,-120,12.5,-110,-120,12.5,-115,-115
Malik Beasley,MIL,NYK,,,,,,,11.5,-105,-130,,,
Ziaire Williams,MEM,@POR,,,,,,,11.5,-115,-120,,,
Kentavious Caldwell-Pope,DEN,DAL,10.5,-115,-110,,,,,,,,,
Daniel Gafford,WAS,@MIA,10.5,100,-130,,,,9.5,-135,100,,,
Kevon Looney,GSW,@OKC,,,,,,,9.5,-130,100,10.5,105,-140
Brook Lopez,MIL,NYK,,,,,,,10.5,-130,100,,,
Quentin Grimes,NYK,@MIL,,,,,,,8.5,100,-130,,,
Kevin Love,MIA,WAS,,,,,,,8.5,-135,100,,,
Mitchell Robinson,NYK,@MIL,,,,,,,7.5,-120,-110,,,
