,,,DraftKings,,,FanDuel,,,BetMGM,,,PointsBet,,
Player,Team,Opp,Pts + Reb,Over,Under,Pts + Reb,Over,Under,Pts + Reb,Over,Under,Pts + Reb,Over,Under
Luka Doncic,DAL,@DEN,40.5,-120,-110,40.5,-115,-111,,,,41.5,-110,-120
Nikola Jokic,DEN,DAL,38.5,-115,-110,38.5,-120,-106,,,,39.5,100,-130
Giannis Antetokounmpo,MIL,NYK,,,,38.5,-104,-122,38.5,-115,-115,38.5,-115,-115
Stephen Curry,GSW,@OKC,33.5,-110,-115,34.5,-104,-122,33.5,-115,-115,33.5,-130,100
Desmond Bane,MEM,@POR,,,,30.5,-115,-111,31.5,-115,-120,31.5,-115,-115
Nikola Vucevic,CHI,BKN,31.5,-105,-120,30.5,-113,-113,31.5,-105,-125,31.5,-105,-125
Bam Adebayo,MIA,WAS,29.5,-120,-110,30.5,-104,-122,29.5,-115,-115,30.5,-115,-115
Tyler Herro,MIA,WAS,29.5,-105,-120,29.5,-108,-118,29.5,-105,-125,29.5,-105,-125
Jaren Jackson,MEM,@POR,,,,28.5,-122,-104,29.5,-105,-125,28.5,-115,-115
Zach LaVine,CHI,BKN,29.5,-120,-105,29.5,-104,-122,29.5,-125,-110,29.5,-110,-120
Damian Lillard,MIL,NYK,,,,28.5,-120,-106,28.5,-125,-105,29.5,-110,-120
Mikal Bridges,BKN,@CHI,27.5,-115,-110,28.5,-113,-113,27.5,-120,-110,28.5,105,-140
Shaedon Sharpe,POR,MEM,,,,28.5,-106,-120,26.5,-125,-105,27.5,-105,-125
Jalen Brunson,NYK,@MIL,,,,26.5,-122,-104,26.5,-120,-110,27.5,-110,-120
Kyle Kuzma,WAS,@MIA,27.5,-115,-110,27.5,-118,-108,27.5,-120,-110,27.5,-115,-115
Julius Randle,NYK,@MIL,,,,27.5,-102,-125,26.5,-110,-120,27.5,105,-140
Cam Thomas,BKN,@CHI,,,,26.5,-125,-102,27.5,-115,-115,,,
Jerami Grant,POR,MEM,,,,25.5,-120,-106,26.5,-110,-125,26.5,-105,-125
Jimmy Butler,MIA,WAS,25.5,-120,-110,25.5,-111,-115,25.5,-110,-120,25.5,-110,-120
DeMar DeRozan,CHI,BKN,24.5,-120,-105,25.5,-115,-111,24.5,-120,-110,25.5,105,-140
Josh Giddey,OKC,GSW,25.5,-115,-110,24.5,-122,-104,25.5,-115,-115,,,
Jalen Williams,OKC,GSW,24.5,-120,-110,24.5,-120,-106,24.5,-120,-110,25.5,100,-130
Deandre Ayton,POR,MEM,,,,23.5,-125,-102,24.5,-110,-120,24.5,-115,-115
Jamal Murray,DEN,DAL,24.5,-115,-115,24.5,-111,-115,,,,24.5,-115,-115
Chet Holmgren,OKC,GSW,23.5,-125,100,23.5,-120,-106,23.5,-105,-125,23.5,-115,-115
Klay Thompson,GSW,@OKC,22.5,-120,-105,22.5,-113,-113,22.5,-125,-105,23.5,-105,-125
Myles Turner,IND,CLE,22.5,-105,-120,23.5,-113,-113,,,,22.5,-110,-120
RJ Barrett,NYK,@MIL,,,,,,,22.5,-110,-120,22.5,-115,-115
Jordan Poole,WAS,@MIA,21.5,-105,-120,21.5,-115,-111,21.5,-105,-125,21.5,-115,-115
Michael Porter,DEN,DAL,19.5,-120,-105,20.5,-102,-125,,,,20.5,-110,-120
Luguentz Dort,OKC,GSW,18.5,-105,-120,18.5,-104,-122,18.5,-110,-125,18.5,-105,-125
Aaron Gordon,DEN,DAL,18.5,-105,-120,18.5,-111,-115,,,,18.5,-110,-120
Kevon Looney,GSW,@OKC,17.5,-125,100,18.5,-104,-122,17.5,-130,-105,18.5,-105,-125
Marcus Smart,MEM,@POR,,,,17.5,-115,-111,17.5,-125,-105,18.5,100,-130
Xavier Tillman,MEM,@POR,,,,17.5,-113,-113,17.5,-120,-110,18.5,105,-140
Deni Avdija,WAS,@MIA,16.5,-120,-110,16.5,-125,-102,16.5,-120,-110,17.5,110,-145
Ben Simmons,BKN,@CHI,16.5,-130,100,17.5,100,-128,,,,17.5,100,-130
Andrew Wiggins,GSW,@OKC,17.5,-105,-120,16.5,-111,-115,17.5,-105,-125,17.5,-105,-125
Dorian Finney-Smith,BKN,@CHI,16.5,-105,-125,15.5,-128,100,16.5,-105,-125,16.5,-110,-120
Mitchell Robinson,NYK,@MIL,,,,15.5,-125,-102,16.5,-105,-130,16.5,105,-140
Daniel Gafford,WAS,@MIA,14.5,-120,-105,15.5,-104,-122,14.5,-120,-110,14.5,-120,-110
Brook Lopez,MIL,NYK,,,,15.5,-122,-104,14.5,-130,-105,15.5,-115,-115
Bobby Portis,MIL,NYK,,,,14.5,-115,-111,,,,15.5,-105,-125
Ziaire Williams,MEM,@POR,,,,14.5,-111,-115,14.5,-115,-115,15.5,-105,-125
Coby White,CHI,BKN,14.5,100,-125,13.5,-118,-108,14.5,-105,-130,14.5,105,-140
Draymond Green,GSW,@OKC,13.5,-110,-115,13.5,-106,-120,13.5,-110,-120,13.5,-105,-125
Tyus Jones,WAS,@MIA,12.5,-120,-105,12.5,-125,-102,12.5,-120,-110,13.5,110,-145
Kevin Love,MIA,WAS,13.5,-105,-120,13.5,100,-128,13.5,-105,-125,13.5,-115,-115
Malik Beasley,MIL,NYK,,,,,,,12.5,-125,-105,,,
Kentavious Caldwell-Pope,DEN,DAL,12.5,100,-130,12.5,-108,-118,,,,12.5,-110,-120
Kyle Lowry,MIA,WAS,10.5,-125,100,11.5,102,-130,10.5,-135,100,11.5,105,-140
Quentin Grimes,NYK,@MIL,,,,,,,9.5,-105,-125,,,
