,,,DraftKings,,,FanDuel,,,BetMGM,,,PointsBet,,
Player,Team,Opp,Threes,Over,Under,Threes,Over,Under,Threes,Over,Under,Threes,Over,Under
Stephen Curry,GSW,@OKC,4.5,-115,-110,4.5,-128,100,4.5,-110,-120,4.5,-120,-110
Desmond Bane,MEM,@POR,,,,3.5,-113,-113,3.5,-115,-115,3.5,-120,-110
Luka Doncic,DAL,@DEN,3.5,115,-150,3.5,130,-166,,,,3.5,110,-145
Tyler Herro,MIA,WAS,3.5,-105,-120,3.5,106,-136,3.5,-105,-125,3.5,-105,-125
Damian Lillard,MIL,NYK,,,,3.5,114,-146,3.5,110,-150,3.5,110,-145
Donovan Mitchell,CLE,@IND,,,,3.5,-150,118,,,,,,
Klay Thompson,GSW,@OKC,3.5,-135,105,3.5,-140,110,3.5,-140,105,3.5,-145,110
Malik Beasley,MIL,NYK,,,,2.5,110,-140,2.5,110,-150,2.5,110,-145
Mikal Bridges,BKN,@CHI,2.5,130,-165,2.5,130,-166,2.5,125,-165,2.5,125,-165
Jalen Brunson,NYK,@MIL,,,,2.5,148,-194,2.5,145,-190,2.5,140,-180
Dorian Finney-Smith,BKN,@CHI,2.5,120,-155,2.5,126,-162,2.5,115,-155,2.5,115,-150
Kyle Kuzma,WAS,@MIA,2.5,115,-145,2.5,116,-148,2.5,110,-150,2.5,105,-140
Zach LaVine,CHI,BKN,2.5,-110,-115,2.5,-102,-125,2.5,-115,-115,2.5,-115,-115
Jamal Murray,DEN,DAL,2.5,110,-140,2.5,112,-142,,,,2.5,105,-140
Jordan Poole,WAS,@MIA,2.5,105,-135,2.5,106,-136,2.5,105,-140,2.5,105,-140
Michael Porter,DEN,DAL,2.5,125,-165,2.5,122,-156,,,,2.5,120,-160
Julius Randle,NYK,@MIL,,,,2.5,162,-210,1.5,-190,145,1.5,-175,135
Shaedon Sharpe,POR,MEM,,,,2.5,-136,106,2.5,-115,-120,2.5,-115,-115
Marcus Smart,MEM,@POR,,,,2.5,162,-210,2.5,145,-190,2.5,140,-180
Max Strus,CLE,@IND,,,,2.5,-130,102,,,,,,
RJ Barrett,NYK,@MIL,,,,,,,1.5,-120,-110,1.5,-130,100
Kentavious Caldwell-Pope,DEN,DAL,1.5,-125,100,1.5,-122,-104,,,,1.5,-130,100
Luguentz Dort,OKC,GSW,1.5,-145,110,1.5,-154,120,1.5,-150,110,1.5,-150,115
Jerami Grant,POR,MEM,,,,1.5,-180,138,1.5,-185,135,1.5,-170,130
Quentin Grimes,NYK,@MIL,,,,1.5,-115,-111,1.5,-105,-125,1.5,-110,-120
Chet Holmgren,OKC,GSW,1.5,-170,130,1.5,-170,132,1.5,-175,130,1.5,-160,120
Jaren Jackson,MEM,@POR,,,,1.5,-104,-122,1.5,-125,-105,1.5,-125,-105
Nikola Jokic,DEN,DAL,1.5,135,-175,1.5,142,-184,,,,1.5,130,-170
Tyus Jones,WAS,@MIA,1.5,110,-140,1.5,124,-158,1.5,110,-150,1.5,105,-140
Brook Lopez,MIL,NYK,,,,1.5,106,-136,1.5,120,-160,1.5,105,-140
Kevin Love,MIA,WAS,1.5,-120,-110,,,,1.5,-120,-110,1.5,-115,-115
Kyle Lowry,MIA,WAS,1.5,-105,-120,1.5,104,-132,1.5,-110,-120,1.5,-115,-115
Cam Thomas,BKN,@CHI,,,,1.5,-138,108,1.5,-135,100,,,
Myles Turner,IND,CLE,1.5,135,-170,1.5,132,-170,,,,1.5,125,-165
Coby White,CHI,BKN,1.5,-150,115,1.5,-125,-102,1.5,-155,115,1.5,-145,110
Andrew Wiggins,GSW,@OKC,1.5,175,-225,1.5,180,-235,1.5,170,-250,1.5,175,-240
Jalen Williams,OKC,GSW,1.5,135,-175,1.5,120,-154,1.5,115,-155,1.5,135,-175
Ziaire Williams,MEM,@POR,,,,1.5,100,-128,1.5,-110,-120,1.5,-110,-120
Giannis Antetokounmpo,MIL,NYK,,,,0.5,122,-156,0.5,125,-160,0.5,115,-150
Deni Avdija,WAS,@MIA,0.5,-180,140,,,,0.5,-185,135,0.5,-180,140
Jimmy Butler,MIA,WAS,0.5,120,-150,,,,0.5,115,-155,0.5,110,-145
DeMar DeRozan,CHI,BKN,0.5,115,-145,,,,0.5,115,-150,0.5,105,-140
Josh Giddey,OKC,GSW,0.5,-195,150,,,,0.5,-200,150,,,
Aaron Gordon,DEN,DAL,0.5,105,-135,,,,,,,0.5,100,-130
Draymond Green,GSW,@OKC,0.5,135,-175,,,,0.5,135,-185,0.5,140,-180
Khris Middleton,MIL,NYK,,,,0.5,-250,190,,,,,,
Bobby Portis,MIL,NYK,,,,,,,,,,0.5,-125,-105
Xavier Tillman,MEM,@POR,,,,,,,0.5,185,-250,0.5,185,-250
Nikola Vucevic,CHI,BKN,0.5,-195,150,0.5,-230,176,0.5,-200,150,0.5,-200,150
