Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2024,"LAA",315,0.082539682,0.222222222,0.371428571,0.24911032,0.32063492,0.345195729,0.665830649,0.096085409,0.314285714,33.396225815316804,-3.6813592336567575,0.29639521383103873,89.56240715128868
2024,"BAL",656,0.076219512,0.245426829,0.310559006,0.251689189,0.319571865,0.440878378,0.760450243,0.189189189,0.30049261,86.9758736103595,9.760331413132011,0.32941476628754807,116.37920151254306
2024,"BOS",482,0.118257261,0.286307053,0.413043478,0.235576923,0.335416666,0.396634615,0.732051281,0.161057692,0.322097378,60.425912327673515,3.6913218717838046,0.32146499891700986,102.0425942303579
2024,"CHW",461,0.075921908,0.266811279,0.284552845,0.22276029,0.291028446,0.32929782,0.620326266,0.10653753,0.292253521,40.492374100099326,-13.770377352525488,0.27431770851323894,74.58769877262927
2024,"CLE",545,0.091743119,0.19266055,0.476190476,0.253668763,0.337614678,0.429769392,0.76738407,0.176100629,0.284916201,74.06216529103193,9.912057825347526,0.3329751817062772,117.83618249719191
2024,"DET",580,0.070689655,0.224137931,0.315384615,0.255238095,0.31433506,0.392380952,0.706716012,0.137142857,0.31185567,67.19837842959532,-1.0714607081972636,0.30861795504476125,100.39657634312167
2024,"KCR",430,0.065116279,0.195348837,0.333333333,0.260869565,0.309133489,0.398976982,0.708110471,0.138107417,0.305921052,48.72934800226536,-1.884498255063623,0.3051002555734971,92.78180616437885
2024,"MIN",513,0.06822612,0.175438596,0.388888888,0.296052631,0.354207436,0.469298245,0.823505681,0.173245614,0.329608938,77.60414380388659,17.2206481527011,0.35177115575801693,131.1882212151149
2024,"NYY",477,0.085953878,0.230607966,0.372727272,0.2529274,0.320754716,0.407494145,0.728248861,0.154566745,0.296052631,58.650529228007805,2.504471868133563,0.3156023974911573,105.93265018872296
2024,"OAK",477,0.102725366,0.232704402,0.441441441,0.262650602,0.344608879,0.448192771,0.79280165,0.185542169,0.316151202,68.22128486177006,12.07522750189581,0.3420182518502499,126.79582366772418
2024,"SEA",504,0.111111111,0.267857142,0.414814814,0.205949656,0.302788844,0.354691075,0.657479919,0.148741419,0.253472222,52.288618752649455,-7.03551732570826,0.29315836994771466,95.45350668994034
2024,"TBR",451,0.093126385,0.252771618,0.368421052,0.26,0.332589285,0.4825,0.815089285,0.2225,0.312267657,66.32738195618816,13.24169669559426,0.3474943778488073,131.01519221880412
2024,"TEX",543,0.079189686,0.222836095,0.3553719,0.274949083,0.332103321,0.401221995,0.733325316,0.126272912,0.334254143,67.63124191496334,3.7165476876851153,0.3191523571809133,107.47231887873505
2024,"TOR",490,0.110204081,0.189795918,0.580645161,0.225581395,0.311475409,0.365116279,0.676591688,0.139534884,0.254601226,53.110905341978075,-4.565338067536346,0.2983766432406971,95.1239848355109
2024,"ARI",677,0.076809453,0.218611521,0.351351351,0.275290215,0.340298507,0.414593698,0.754892205,0.139303483,0.337837837,89.502914793194,9.815533592701605,0.32901834174544514,110.44746075402838
2024,"ATL",518,0.073359073,0.26061776,0.281481481,0.244680851,0.308880308,0.414893617,0.723773925,0.170212766,0.30529595,62.63068145284925,1.6586527056482925,0.3148156386084538,100.69643568989748
2024,"CHC",507,0.072978303,0.224852071,0.324561403,0.22077922,0.286561264,0.329004329,0.615565593,0.108225109,0.273529411,43.538617621523926,-16.138638314443057,0.2715339283819938,74.16974631853503
2024,"CIN",467,0.113490364,0.276231263,0.410852713,0.212121212,0.321120689,0.363636363,0.684757052,0.151515151,0.270588235,51.91258067579999,-3.056410492043362,0.30317083467607914,89.2254483852865
